Depth,value,param
0.25,5.551067031006534,prc_score
3.75,0,prc_score
4.25,1.2185823940578702,prc_score
4.75,1.6167882694572824,prc_score
5.25,2.1751232112966012,prc_score
5.75,2.373927507284122,prc_score
6.25,2.164836594634934,prc_score
6.75,2.297731594681807,prc_score
7.25,1.7088810503863734,prc_score
7.75,1.5115546173386,prc_score
10.25,1.0851695880633772,prc_score
13.25,2.0960690565652462,prc_score
16.25,1.888964673318986,prc_score
19.25,3.484388752170155,prc_score
21.75,3.9231537366269538,prc_score
22.25,3.814715265701234,prc_score
22.75,3.9827556512696516,prc_score
23.25,4.206165448279389,prc_score
23.75,4.224492210848697,prc_score
24.25,4.046117362896158,prc_score
24.75,4.157750069919972,prc_score
25.25,4.168850094130977,prc_score
25.75,3.926804545683579,prc_score
27.75,3.9846900582897007,prc_score
29.75,4.494809362944104,prc_score
30.25,3.528791432658738,prc_score
30.75,3.5778103343426166,prc_score
31.25,4.124205999691272,prc_score
31.75,4.141240615118743,prc_score
32.25,4.200670739204779,prc_score
32.75,3.8560176024730137,prc_score
33.25,5.060581178261573,prc_score
33.75,5.147613237152613,prc_score
34.25,5.698821611045146,prc_score
34.75,5.8587598475986224,prc_score
35.25,5.8587598475986224,prc_score
35.75,5.8587598475986224,prc_score
36.25,5.8587598475986224,prc_score
36.75,5.8587598475986224,prc_score
37.25,5.810312768642904,prc_score
37.75,5.8587598475986224,prc_score
38.25,5.8587598475986224,prc_score
