Working_Unit,Age,ROC,ROC_up,ROC_dw,Peak
-69--39,-54,0.19529032672024704,0.3843427508904521,0.048289559522028756,TRUE
-63--33,-48,0.1335161699243792,0.35928092653744226,0.05031916728904341,FALSE
-57--27,-42,0.13158625264851076,0.3652980650957603,0.054284483235858064,FALSE
-51--21,-36,0.12875902180953366,0.26965322829346144,0.056440349502261435,FALSE
-45--15,-30,0.11116721484316094,0.167961582000252,0.053662426760634395,FALSE
-39--9,-24,0.09377983098001193,0.15431853690828035,0.04099682512836232,FALSE
-33--3,-18,0.06882427872521811,0.10856571459823013,0.03751194104219342,FALSE
-27-3,-12,0.06356333637375453,0.09279961159220292,0.036991645491371815,FALSE
-21-9,-6,0.059185413668895126,0.09334734437266103,0.03170662906656942,FALSE
-15-15,0,0.05841937715519262,0.09288448580041858,0.03194088294823243,FALSE
-9-21,6,0.05219198462388754,0.07627217232104717,0.031714343981776,FALSE
-3-27,12,0.052133572007409215,0.07639548773435868,0.03223136064975159,FALSE
3-33,18,0.04997523503190408,0.07666615442585893,0.030678617883231715,FALSE
9-39,24,0.04328676544645251,0.06289336568217907,0.0283714311091049,FALSE
15-45,30,0.05000243772831553,0.07265927871357138,0.03159642514222427,FALSE
21-51,36,0.055696163926143724,0.08077451674310254,0.03391573807471377,FALSE
27-57,42,0.060740878465642426,0.08819196385598105,0.03507011370379455,FALSE
33-63,48,0.06796981271704866,0.10481832710898786,0.03454008088022506,FALSE
39-69,54,0.07154428887101863,0.108245795712888,0.035725261395464204,FALSE
45-75,60,0.08264959280891959,0.11739732591847922,0.0440940742607641,FALSE
51-81,66,0.08646657779979827,0.12092383425750018,0.045922579088680075,FALSE
57-87,72,0.09018166237720739,0.12287642512844958,0.0487324814060372,FALSE
63-93,78,0.09083806871960486,0.12268567412819252,0.05510819795713125,FALSE
69-99,84,0.09591519678019667,0.14583018088303032,0.05596462632692888,FALSE
75-105,90,0.10337722861365994,0.1513272004568848,0.06834777956875289,FALSE
81-111,96,0.10936759440334465,0.15829376527858932,0.047423450988743954,FALSE
87-117,102,0.14569348444208008,0.22681690819016911,0.05642595514021776,FALSE
93-123,108,0.15669344662157464,0.25283658857641694,0.05294912376127038,TRUE
99-129,114,0.13060782597395537,0.2237229483018707,0.05931186906339036,FALSE
105-135,120,0.11873768001140292,0.17963329474014883,0.05690511898864437,FALSE
111-141,126,0.11117673159551228,0.16316250452863748,0.055877037515571715,FALSE
117-147,132,0.09262011805179046,0.1511110702885093,0.05107463597356576,FALSE
123-153,138,0.08798753919296186,0.14903950611070402,0.05045343413914612,FALSE
129-159,144,0.07941828880948094,0.12020317223059027,0.046822543971575384,FALSE
135-165,150,0.08193776575950429,0.12077253702406932,0.051932942046889564,FALSE
141-171,156,0.08337972906333273,0.12196716941918677,0.05093443171899203,FALSE
147-177,162,0.08235755175660056,0.12403417977753994,0.047456732038235944,FALSE
153-183,168,0.09404337822997508,0.15476333174080117,0.04796354617476568,FALSE
159-189,174,0.11170924162427931,0.1619748435753916,0.058093025545479196,FALSE
165-195,180,0.11985350861330428,0.1624771917755392,0.06435854599650352,FALSE
171-201,186,0.12353942195868794,0.16398482685187865,0.07647297900603027,FALSE
177-207,192,0.12480043336515956,0.1697430189406369,0.07748972268022332,FALSE
183-213,198,0.12057640261949834,0.16554543228368818,0.0814499622255919,FALSE
189-219,204,0.12825784612497015,0.2166591138966664,0.045381127575265835,FALSE
195-225,210,0.1295282710753218,0.22027084486865575,0.04415455137751418,FALSE
201-231,216,0.10832150253183503,0.21874575422498352,0.03658464083814833,FALSE
207-237,222,0.11906610705923598,0.2238675167751651,0.07340359691036877,FALSE
213-243,228,0.10785809921487514,0.15443115149605272,0.07161421343240466,FALSE
