Depth,volume,indicator,lycopodium_ref
0.25,1,292,9666
3.75,0.5,146,9666
4.25,1,235,9666
4.75,1,166,9666
5.25,0.5,110.5,9666
5.75,1,123,9666
6.25,0.5,120,9666
6.75,0.5,64,9666
7.25,0.5,82.5,9666
7.75,0.5,102,9666
10.25,0.5,106,9666
13.25,1,138,9666
16.25,0.5,71.5,9666
19.25,1,140,9666
21.75,1,115,9666
22.25,1,139,9666
22.75,1,75,9666
23.25,1,107,9666
23.75,1,97,9666
24.25,1,70,9666
24.75,1,76,9666
25.25,1,102,9666
25.75,1,93,9666
27.75,1,96,9666
29.75,1,66,9666
30.25,1,101,9666
30.75,1,124,9666
31.25,1,90,9666
31.75,1,131,9666
32.25,1,112,9666
32.75,1,118,9666
33.25,1,143,9666
33.75,1,107,9666
34.25,1,156,9666
34.75,1,116,9666
35.25,0.5,133.5,9666
35.75,1,234,9666
36.25,1,132,9666
36.75,1,251,9666
37.25,1,248,9666
37.75,1,164,9666
38.25,1,159,9666
