Depth,param,count,unit
0.25,sand,0,number per 1cc
0.75,sand,6,number per 1cc
1.25,sand,0,number per 1cc
1.75,sand,0,number per 1cc
2.25,sand,8,number per 1cc
2.75,sand,2,number per 1cc
3.25,sand,2,number per 1cc
3.75,sand,20,number per 1cc
4.25,sand,12,number per 1cc
4.75,sand,4,number per 1cc
5.25,sand,36,number per 1cc
5.75,sand,110,number per 1cc
6.25,sand,4,number per 1cc
6.75,sand,4,number per 1cc
7.25,sand,4,number per 1cc
7.75,sand,24,number per 1cc
8.25,sand,2,number per 1cc
8.75,sand,4,number per 1cc
9.25,sand,2,number per 1cc
9.75,sand,4,number per 1cc
10.25,sand,0,number per 1cc
10.75,sand,4,number per 1cc
11.25,sand,4,number per 1cc
11.75,sand,0,number per 1cc
12.25,sand,0,number per 1cc
12.75,sand,8,number per 1cc
13.25,sand,2,number per 1cc
13.75,sand,0,number per 1cc
14.25,sand,0,number per 1cc
14.75,sand,6,number per 1cc
15.25,sand,20,number per 1cc
15.75,sand,12,number per 1cc
16.25,sand,4,number per 1cc
16.75,sand,6,number per 1cc
17.25,sand,10,number per 1cc
17.75,sand,2,number per 1cc
18.25,sand,26,number per 1cc
18.75,sand,18,number per 1cc
19.25,sand,10,number per 1cc
19.75,sand,24,number per 1cc
20.25,sand,8,number per 1cc
20.75,sand,18,number per 1cc
21.25,sand,12,number per 1cc
21.75,sand,6,number per 1cc
22.25,sand,6,number per 1cc
22.75,sand,6,number per 1cc
23.25,sand,86,number per 1cc
23.75,sand,182,number per 1cc
24.25,sand,34,number per 1cc
24.75,sand,14,number per 1cc
25.25,sand,0,number per 1cc
25.75,sand,6,number per 1cc
26.25,sand,12,number per 1cc
26.75,sand,8,number per 1cc
27.25,sand,4,number per 1cc
27.75,sand,20,number per 1cc
28.25,sand,10,number per 1cc
28.75,sand,4,number per 1cc
29.25,sand,6,number per 1cc
29.75,sand,2,number per 1cc
30.25,sand,2,number per 1cc
30.75,sand,2,number per 1cc
31.25,sand,52,number per 1cc
31.75,sand,102,number per 1cc
32.25,sand,32,number per 1cc
32.75,sand,4,number per 1cc
33.25,sand,4,number per 1cc
33.75,sand,18,number per 1cc
34.25,sand,36,number per 1cc
34.75,sand,38,number per 1cc
35.25,sand,108,number per 1cc
35.75,sand,506,number per 1cc
36.25,sand,78,number per 1cc
36.75,sand,6,number per 1cc
37.25,sand,6,number per 1cc
37.75,sand,0,number per 1cc
38.25,sand,0,number per 1cc
38.75,sand,76,number per 1cc
39.25,sand,74,number per 1cc
39.75,sand,70,number per 1cc
40.25,sand,146,number per 1cc
40.75,sand,34,number per 1cc
41.25,sand,58,number per 1cc
41.75,sand,26,number per 1cc
42.25,sand,162,number per 1cc
42.75,sand,130,number per 1cc
